experiment,method,seed,trace,trace_key,mean_reward
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_097_test_fcc_trace_805712_http---www.facebook.com_1200_0,097_test_fcc_trace_805712_http---www.facebook.com_1200_0,1.0797872340425534
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_098_trace_939562_http---www.google.com-mobile-_320,098_trace_939562_http---www.google.com-mobile-_320,2.267021276595744
fcc-test_video1,genet,100001,result_sim_abr_fcc-test_099_trace_925800_http---www.ebay.com_320,099_trace_925800_http---www.ebay.com_320,0.5968085106382979
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_000_trace_942154_http---www.ebay.com_0,000_trace_942154_http---www.ebay.com_0,0.5010638297872342
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_001_test_fcc_trace_215364_http---www.ebay.com_600_0,001_test_fcc_trace_215364_http---www.ebay.com_600_0,0.7531914893617021
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_002_trace_939592_http---www.facebook.com_640,002_trace_939592_http---www.facebook.com_640,1.2819148936170215
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_003_trace_215252_http---www.msn.com_640,003_trace_215252_http---www.msn.com_640,1.120212765957447
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_004_trace_901648_http---www.amazon.com_960,004_trace_901648_http---www.amazon.com_960,1.9627659574468077
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_005_trace_13562_http---www.facebook.com_320,005_trace_13562_http---www.facebook.com_320,0.3765957446808511
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_006_trace_7256_http---www.facebook.com_640,006_trace_7256_http---www.facebook.com_640,0.5010638297872342
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_007_test_fcc_trace_14731_http---www.facebook.com_1080_0,007_test_fcc_trace_14731_http---www.facebook.com_1080_0,0.3574468085106383
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_008_test_fcc_trace_27175_http---www.amazon.com_480_0,008_test_fcc_trace_27175_http---www.amazon.com_480_0,0.5202923754834509
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_009_test_fcc_trace_27175_http---www.amazon.com_420_0,009_test_fcc_trace_27175_http---www.amazon.com_420_0,0.5393617021276597
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_010_test_fcc_trace_14731_http---www.facebook.com_1140_0,010_test_fcc_trace_14731_http---www.facebook.com_1140_0,0.35744680851063837
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_011_test_fcc_trace_5554_http---www.amazon.com_360_0,011_test_fcc_trace_5554_http---www.amazon.com_360_0,0.43404255319148943
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_012_trace_939562_http---www.google.com-mobile-_0,012_trace_939562_http---www.google.com-mobile-_0,2.1340425531914886
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_013_trace_8299_http---www.amazon.com_1280,013_trace_8299_http---www.amazon.com_1280,-0.008069804734486513
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_014_trace_849842_http---www.facebook.com_960,014_trace_849842_http---www.facebook.com_960,0.4148936170212767
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_015_test_fcc_trace_805712_http---www.facebook.com_720_0,015_test_fcc_trace_805712_http---www.facebook.com_720_0,1.121276595744681
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_016_trace_11332_http---www.facebook.com_640,016_trace_11332_http---www.facebook.com_640,0.4053191489361703
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_017_trace_7451_http---www.yahoo.com_320,017_trace_7451_http---www.yahoo.com_320,0.8361702127659578
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_018_trace_806172_http---www.amazon.com_320,018_trace_806172_http---www.amazon.com_320,0.7691489361702128
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_019_trace_7540_http---www.yahoo.com_0,019_trace_7540_http---www.yahoo.com_0,0.7882978723404256
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_020_trace_28838_http---www.amazon.com_1280,020_trace_28838_http---www.amazon.com_1280,-1.9342420295364824
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_021_test_fcc_trace_14731_http---www.facebook.com_300_0,021_test_fcc_trace_14731_http---www.facebook.com_300_0,0.3574468085106383
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_022_trace_7451_http---www.yahoo.com_960,022_trace_7451_http---www.yahoo.com_960,0.8553191489361706
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_023_trace_942092_http---www.facebook.com_0,023_trace_942092_http---www.facebook.com_0,1.3234042553191492
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_024_test_fcc_trace_216810_http---www.facebook.com_1140_0,024_test_fcc_trace_216810_http---www.facebook.com_1140_0,1.3734042553191486
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_025_test_fcc_trace_215364_http---www.ebay.com_1020_0,025_test_fcc_trace_215364_http---www.ebay.com_1020_0,0.7755319148936166
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_026_trace_665192_http---www.facebook.com_640,026_trace_665192_http---www.facebook.com_640,1.8085106382978715
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_027_test_fcc_trace_27175_http---www.amazon.com_660_0,027_test_fcc_trace_27175_http---www.amazon.com_660_0,0.5221709281640697
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_028_trace_663494_http---www.facebook.com_960,028_trace_663494_http---www.facebook.com_960,1.7755319148936162
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_029_test_fcc_trace_5554_http---www.amazon.com_1080_0,029_test_fcc_trace_5554_http---www.amazon.com_1080_0,0.6914893617021277
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_030_test_fcc_trace_216810_http---www.facebook.com_120_0,030_test_fcc_trace_216810_http---www.facebook.com_120_0,1.534042553191489
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_031_trace_849842_http---www.facebook.com_640,031_trace_849842_http---www.facebook.com_640,0.36702127659574474
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_032_test_fcc_trace_805712_http---www.facebook.com_60_0,032_test_fcc_trace_805712_http---www.facebook.com_60_0,1.1670212765957448
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_033_test_fcc_trace_216810_http---www.facebook.com_480_0,033_test_fcc_trace_216810_http---www.facebook.com_480_0,1.0670212765957445
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_034_trace_797466_http---www.amazon.com_320,034_trace_797466_http---www.amazon.com_320,0.6159574468085105
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_035_trace_7289_http---www.yahoo.com_320,035_trace_7289_http---www.yahoo.com_320,0.8531914893617022
